id;lat;lon;amenity;recycling_type;name
663239859;48.8847109;2.2983435;recycling;;
1252383138;48.9032523;2.2975263;recycling;container;
1557210449;48.8997557;2.2804415;recycling;;
2028031407;48.9035288;2.3002112;recycling;container;
3689889349;48.9053601;2.2694118;recycling;;
4610647190;48.8870480;2.2703736;recycling;container;
5333434251;48.9041737;2.3051897;recycling;container;
5569041159;48.8875060;2.2943354;recycling;container;
5569041160;48.8875867;2.2944662;recycling;container;
5908506564;48.9002974;2.2987366;recycling;container;
6020433543;48.8873927;2.3051387;recycling;container;
6434299443;48.9029211;2.2911584;recycling;container;
6498619426;48.8998354;2.2723166;recycling;container;
7692847383;48.9051237;2.3013591;recycling;container;
7692856487;48.9044200;2.2989441;recycling;container;
7692856488;48.9050843;2.2981092;recycling;container;
7692856489;48.9046671;2.2973697;recycling;container;
7692856490;48.9026372;2.2985139;recycling;container;
7692856491;48.9011444;2.3003842;recycling;container;
7692856493;48.9015733;2.3015788;recycling;container;
7692856495;48.8960419;2.3048435;recycling;container;
8457659548;48.9034776;2.3031220;recycling;container;
8473495696;48.8917465;2.3045409;recycling;container;
11252751899;48.8891939;2.2976485;recycling;container;
11252751900;48.8892000;2.2976571;recycling;container;
11880019607;48.8846761;2.2966079;recycling;container;
12227765329;48.8929458;2.2986535;recycling;container;
12292018802;48.8968140;2.2883569;recycling;container;
12353329467;48.8930491;2.2982297;recycling;container;
12359966188;48.8919780;2.2849359;recycling;container;
12829702951;48.9015537;2.3015438;recycling;container;
13142818018;48.8873351;2.2879894;recycling;container;
13142856911;48.8870911;2.2898396;recycling;container;
13142873919;48.8873422;2.2885357;recycling;container;
13142878484;48.8889758;2.2927330;recycling;container;
13142883192;48.8880591;2.2904216;recycling;container;
13142886102;48.8870861;2.2881468;recycling;container;
13142887772;48.8921600;2.2853023;recycling;container;
13142891304;48.8868347;2.2885871;recycling;container;
13175526795;48.8947769;2.2940132;recycling;container;
13175538819;48.8964872;2.2981383;recycling;container;
13175549422;48.8967188;2.2980913;recycling;container;
13195374555;48.8950216;2.2873831;recycling;container;
